Position,Data1,Data2
43.8,-0.33373,0.33428
44,-0.33442,0.33506
44.2,-0.33523,0.33583
44.4,-0.33586,0.3366
44.6,-0.33654,0.33728
44.8,-0.33722,0.33797
45,-0.33783,0.33862
45.2,-0.3385,0.33924
45.4,-0.33855,0.33908
45.6,-0.33961,0.34044
45.8,-0.33978,0.34029
46,-0.34065,0.34154
46.2,-0.34113,0.34206
46.4,-0.34156,0.34253
46.6,-0.34204,0.34296
46.8,-0.34237,0.34342
47,-0.34276,0.34383
47.2,-0.34306,0.34426
47.4,-0.34329,0.34407
47.6,-0.34362,0.34443
47.8,-0.34411,0.34521
48,-0.34442,0.34548
48.2,-0.34455,0.34575
48.4,-0.34479,0.34596
48.6,-0.34498,0.34616
48.8,-0.34513,0.34634
49,-0.34521,0.34647
49.2,-0.34541,0.34658
49.4,-0.34552,0.34641
49.6,-0.34556,0.34677
49.8,-0.34554,0.34681
50,-0.34574,0.34664
50.2,-0.34559,0.3468
50.4,-0.3455,0.34675
50.6,-0.34538,0.34669
50.8,-0.34529,0.3466
51,-0.34516,0.34651
51.2,-0.34502,0.34638
51.4,-0.34485,0.34621
51.6,-0.34502,0.34604
51.8,-0.34478,0.34584
52,-0.34423,0.34556
52.2,-0.34388,0.34529
52.4,-0.34358,0.34499
52.6,-0.34336,0.34467
52.8,-0.34302,0.34433
53,-0.34257,0.34396
53.2,-0.3422,0.34359
53.4,-0.34174,0.34319
53.6,-0.34132,0.34274
53.8,-0.34077,0.34231
54,-0.34101,0.34216
54.2,-0.33982,0.34129
54.4,-0.33922,0.34076
54.6,-0.33938,0.3406
54.8,-0.33812,0.3396
55,-0.33754,0.33901
55.2,-0.3369,0.33838
55.4,-0.3363,0.33772
55.6,-0.33556,0.33703
55.8,-0.33489,0.33633
56,-0.3342,0.33563
56.2,-0.33345,0.33488
56.4,-0.33364,0.33471
56.6,-0.33287,0.33394
56.8,-0.33114,0.33253
57,-0.33032,0.33168
57.2,-0.3295,0.33084
57.4,-0.32875,0.32996
57.6,-0.32768,0.32906
57.8,-0.32678,0.32813
58,-0.32588,0.32722
58.2,-0.32495,0.32625
58.4,-0.32403,0.32528
58.6,-0.32418,0.32513
58.8,-0.32204,0.3233
59,-0.32215,0.32311
59.2,-0.31995,0.32119
59.4,-0.31889,0.32015
59.6,-0.3179,0.31909
59.8,-0.31675,0.31801
60,-0.31573,0.31689
60.2,-0.31466,0.31575
60.4,-0.31351,0.31461
60.6,-0.31363,0.31446
60.8,-0.31251,0.31327
61,-0.31005,0.31111
61.2,-0.30888,0.30989
61.4,-0.30768,0.30865
61.6,-0.3065,0.30744
61.8,-0.30525,0.30616
62,-0.30399,0.30489
62.2,-0.30275,0.30361
62.4,-0.30152,0.30232
62.6,-0.30168,0.30217
62.8,-0.29905,0.29972
63,-0.29769,0.2984
63.2,-0.29784,0.29823
63.4,-0.29508,0.29571
63.6,-0.29375,0.29437
63.8,-0.29244,0.29302
64,-0.29112,0.29166
64.2,-0.28972,0.29029
64.4,-0.2884,0.28891
64.6,-0.28693,0.28751
64.8,-0.28563,0.28613
65,-0.2842,0.28471
65.2,-0.28283,0.28329
65.4,-0.28143,0.28185
65.6,-0.28156,0.28168
65.8,-0.27862,0.27901
66,-0.27872,0.27884
66.2,-0.27572,0.27612
66.4,-0.27432,0.27469
66.6,-0.27288,0.27321
66.8,-0.27137,0.27175
67,-0.26992,0.27024
67.2,-0.26847,0.26877
67.4,-0.26705,0.2673
67.6,-0.2656,0.26579
67.8,-0.2641,0.26432
68,-0.26272,0.26288
68.2,-0.26117,0.26134
68.4,-0.2597,0.25983
68.6,-0.25825,0.25836
68.8,-0.25669,0.25684
69,-0.25531,0.25535
69.2,-0.25376,0.25383
69.4,-0.25229,0.25232
69.6,-0.25078,0.25082
69.8,-0.24934,0.24934
70,-0.24779,0.24783
70.2,-0.24637,0.24633
70.4,-0.24654,0.24618
70.6,-0.24493,0.24467
70.8,-0.24187,0.24187
71,-0.24033,0.24041
71.2,-0.23882,0.2389
71.4,-0.23745,0.23739
71.6,-0.23596,0.23592
71.8,-0.23451,0.23442
72,-0.23297,0.23295
72.2,-0.23154,0.23146
72.4,-0.23006,0.23003
72.6,-0.2302,0.22985
